Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR6399989,2018-09-20 00:09:46,2017-12-21 02:43:46,69707244,20779491232,69707244,298,8471,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399989.sralite.1,SRX3493025,chaoexpo01_I12,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776627,SAMN08215723,simple,655179,air metagenome,chaoexpo01_I12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,AE2671898D257022D2D7FCE54762110F,4A3D148776DFCE8DDFD73EC823C417B0
SRR6399861,2018-09-20 00:09:49,2017-12-21 01:31:21,74776004,22149677110,74776004,296,8951,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399861.sralite.1,SRX3493153,chaoexpo01_I15,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776755,SAMN08215733,simple,655179,air metagenome,chaoexpo01_I15,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,1F1D03A3D0446A9A0C1F579B05593887,F7B99D3DF79CA3B879C6AB1B5FAC27CC
SRR7365467,2018-09-20 00:09:52,2018-06-19 14:27:01,42394156,12547372884,42394156,295,3018,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365467.sralite.1,SRX4238427,chaoexpo01_I5,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS3435436,SAMN09454482,simple,655179,air metagenome,chaoexpo01_I5,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA724669,,public,0EB042A2417A66D7D4386E13ECE7C227,E593D63B10EE4CBADB7910CEFC967F4F
SRR6399751,2018-09-20 00:09:38,2017-12-20 23:26:18,83744386,24850346547,83744386,296,9109,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399751.sralite.1,SRX3492696,chaoexpo01_I6,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776300,SAMN08215708,simple,655179,air metagenome,chaoexpo01_I6,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,04B4DC260E73372B658D9349DBA04FAA,D8F94567AE16B04E9690964A8E35C1E9
SRR6399787,2018-09-20 00:09:37,2017-12-20 23:57:04,66107363,19225536114,66107363,290,5314,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399787.sralite.1,SRX3492660,chaoexpo02_I12,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776259,SAMN08215800,simple,655179,air metagenome,chaoexpo02_I12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,6A92652D5CEA5658FD9EB02CDA8937BE,E5F59997E6FD19E844D33D5BC2B0D002
SRR6400016,2018-09-20 00:09:46,2017-12-21 03:10:46,62527744,18527290879,62527744,296,5642,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/400/SRR6400016.sralite.1,SRX3492998,chaoexpo02_I15,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776599,SAMN08215815,simple,655179,air metagenome,chaoexpo02_I15,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,F4ECBE94C10E8FAAAA42B6FA0EA19A08,EAAB4E2C2F14F9E8174BF4BDDAA61059
SRR6399489,2018-09-20 00:09:45,2017-12-22 23:21:34,86508964,25502129583,86508964,294,6495,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399489.sralite.1,SRX3492958,chaoexpo02_I5,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776557,SAMN08215755,simple,655179,air metagenome,chaoexpo02_I5,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,2D0BC4F82800751D247BCA3B97018FC5,B10D6C99819F418FA8F0B52FE65A98E4
SRR6399692,2018-09-20 00:09:39,2017-12-20 22:24:39,72083751,21430826647,72083751,297,8725,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399692.sralite.1,SRX3492755,chaoexpo02_I6,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776356,SAMN08215794,simple,655179,air metagenome,chaoexpo02_I6,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,41A77C6BC30708172012A9E8289C6EB9,6141443553C9F3343557C409BFB979E3
SRR6399995,2018-09-20 00:09:46,2017-12-21 03:10:41,70182003,20452703127,70182003,291,7955,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/399/SRR6399995.sralite.1,SRX3493019,chaoexpo03_I12,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776620,SAMN08215725,simple,655179,air metagenome,chaoexpo03_I12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,376C032EFC9597BF49BF8721C3E83F54,4A21FA5D153D69F127EAAAD3B97E19C6
SRR6399992,2018-09-20 00:09:46,2017-12-21 03:09:48,75377399,21975972388,75377399,291,8754,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399992.sralite.1,SRX3493022,chaoexpo03_I15,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776625,SAMN08215728,simple,655179,air metagenome,chaoexpo03_I15,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,D963F6ACCC9BCC6E3386D59700C30236,767316A4EDA744B326B758F065F87867
